name,description
star,Quantum cryptography does not work on Chuck Norris. When something is being observed by Chuck it stays in the same state until he's finished.
planet,Chuck Norris went out of an infinite loop.
nebula,Chuck Norris can access private methods.
star,"Chuck Norris' keyboard doesn't have a F1 key, the computer asks him for help."
star,Chuck Norris can write multi-threaded applications with a single thread.
star,"Chuck Norris doesn't need a debugger, he just stares down the bug until the code confesses."
planet,Chuck Norris can instantiate an abstract class.
planet,Chuck Norris doesn't program with a keyboard. He stares the computer down until it does what he wants.
nebula,Chuck Norris can use GOTO as much as he wants to. Telling him otherwise is considered harmful.
star,Chuck Norris doesn't use web standards as the web will conform to him.
nebula,Chuck Norris' addition operator doesn't commute; it teleports to where he needs it to be.
nebula,Project managers never ask Chuck Norris for estimations... ever.
planet,The programs that Chuck Norris writes don't have version numbers because he only writes them once. If a user reports a bug or has a feature request they don't live to see the sun set.
planet,Chuck Norris can spawn threads that complete before they are started.
galaxy,"Chuck Norris never gets a syntax error. Instead, the language gets a DoesNotConformToChuck error."
star,Chuck Norris doesn't need to know about class factory pattern. He can instantiate interfaces.
star,Chuck Norris's beard can type 140 wpm.
galaxy,Chuck Norris doesn't believe in floating point numbers because they can't be typed on his binary keyboard.
nebula,"When Chuck Norris presses Ctrl+Alt+Delete, worldwide computer restart is initiated."
galaxy,Chuck Norris does not use exceptions when programming. He has not been able to identify any of his code that is not exceptional.
galaxy,"When Chuck Norris points to null, null quakes in fear."
planet,The only pattern Chuck Norris knows is God Object.
moon,"When Chuck Norris gives a method an argument, the method loses."
planet,Chuck Norris doesn't pair program.
moon,Chuck Norris has root access to your system.
